item_name,ing_id,ing_name,ing_weight,ing_price,order_quantity,recipe_quantity,costo_granular_ing,volumen_ing_consumido,valor_inventario_consumido
"Helado de vainilla",REF30025,"Helado de vainilla",4500,15.45,8,100,0.34,800,2.72
"Coca Cola Regular 1.5l",REF30033,"Coca Cola Regular 1.5L",1,0.96,10,1,0.96,10,9.60
"Pizza parmigiana reg",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,9,250,0.53,2250,4.77
"Pizza parmigiana reg",REF30002,"Salsa de tomate",4500,3.89,9,80,0.07,720,0.63
"Pizza parmigiana reg",REF30003,"Queso mozzarella",2500,14.45,9,170,0.98,1530,8.82
"Pizza parmigiana reg",REF30007,Berenjena,1000,1.90,9,120,0.23,1080,2.07
"Pizza parmigiana reg",REF30008,"queso parmesano",2500,18.75,9,170,1.28,1530,11.52
"Coca Cola Diet 33cl",REF30034,"Dieta de coca cola 33cl",1,0.41,8,1,0.41,8,3.28
"Pizza diavola (caliente) grande",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,27,300,0.63,8100,17.01
"Pizza diavola (caliente) grande",REF30002,"Salsa de tomate",4500,3.89,27,100,0.09,2700,2.43
"Pizza diavola (caliente) grande",REF30003,"Queso mozzarella",2500,14.45,27,200,1.16,5400,31.32
"Pizza diavola (caliente) grande",REF30005,"Salami picante",3500,37.64,27,70,0.75,1890,20.25
"Pizza diavola (caliente) grande",REF30006,"Pimiento picante",1000,6.49,27,15,0.10,405,2.70
"Pizza pepperoni grande",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,18,300,0.63,5400,11.34
"Pizza pepperoni grande",REF30002,"Salsa de tomate",4500,3.89,18,100,0.09,1800,1.62
"Pizza pepperoni grande",REF30003,"Queso mozzarella",2500,14.45,18,200,1.16,3600,20.88
"Pizza pepperoni grande",REF30013,Pepperoni,2500,24.18,18,240,2.32,4320,41.76
"Coca Cola Regular 33cl",REF30032,"Coca cola regular 33cl",1,0.41,14,1,0.41,14,5.74
"Pizza Seafood Reg",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,6,250,0.53,1500,3.18
"Pizza Seafood Reg",REF30002,"Salsa de tomate",4500,3.89,6,80,0.07,480,0.42
"Pizza Seafood Reg",REF30003,"Queso mozzarella",2500,14.45,6,170,0.98,1020,5.88
"Pizza Seafood Reg",REF30014,Camarón,1000,8.98,6,150,1.35,900,8.10
"Pizza Seafood Reg",REF30015,Atún,2000,7.66,6,150,0.57,900,3.42
"Pizza Seafood Reg",REF30016,Calamares,2500,28.77,6,150,1.73,900,10.38
"Pan de ajo",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,17,250,0.53,4250,9.01
"Pan de ajo",REF30019,"Mantequilla de ajo y perejil",3000,52.10,17,15,0.26,255,4.42
"Ensalada de frutas",REF30031,"Ensalada de frutas",5000,7.12,19,150,0.21,2850,3.99
"Perrier 1.5l",REF30047,"Perrier 1.5L",1,0.86,10,1,0.86,10,8.60
"Sprite Regular 1.5l",REF30037,"Sprite regular 1.5l",1,0.96,11,1,0.96,11,10.56
"Fanta Regular 33cl",REF30040,"Fanta regular 33cl",1,0.41,29,1,0.41,29,11.89
"Fanta Regular 1.5l",REF30041,"Fanta regular 1.5l",1,0.96,6,1,0.96,6,5.76
"Pizza quattro formaggi reg",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,22,250,0.53,5500,11.66
"Pizza quattro formaggi reg",REF30002,"Salsa de tomate",4500,3.89,22,80,0.07,1760,1.54
"Pizza quattro formaggi reg",REF30003,"Queso mozzarella",2500,14.45,22,170,0.98,3740,21.56
"Pizza quattro formaggi reg",REF30008,"queso parmesano",2500,18.75,22,150,1.13,3300,24.86
"Pizza quattro formaggi reg",REF30009,"Queso Gorgonzola",3500,27.64,22,150,1.18,3300,25.96
"Pizza quattro formaggi reg",REF30010,"Queso ricotta",1500,3.99,22,150,0.40,3300,8.80
"San Pelligrino 1.5l",REF30045,"San Pelligrino 1.5L",1,0.86,9,1,0.86,9,7.74
"Mariscos de pizza",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,2,300,0.63,600,1.26
"Mariscos de pizza",REF30002,"Salsa de tomate",4500,3.89,2,100,0.09,200,0.18
"Mariscos de pizza",REF30003,"Queso mozzarella",2500,14.45,2,200,1.16,400,2.32
"Mariscos de pizza",REF30014,Camarón,1000,8.98,2,175,1.57,350,3.14
"Mariscos de pizza",REF30015,Atún,2000,7.66,2,175,0.67,350,1.34
"Mariscos de pizza",REF30016,Calamares,2500,28.77,2,175,2.01,350,4.02
"Perrier 33cl",REF30046,"Perrier 33Cl",1,0.36,3,1,0.36,3,1.08
"Pizza Regwaiian Reg",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,1,250,0.53,250,0.53
"Pizza Regwaiian Reg",REF30002,"Salsa de tomate",4500,3.89,1,80,0.07,80,0.07
"Pizza Regwaiian Reg",REF30003,"Queso mozzarella",2500,14.45,1,170,0.98,170,0.98
"Pizza Regwaiian Reg",REF30017,jamón,5000,32.45,1,130,0.84,130,0.84
"Pizza Regwaiian Reg",REF30018,Piña,5000,6.23,1,100,0.12,100,0.12
"Pizza parmigiana grande",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,10,300,0.63,3000,6.30
"Pizza parmigiana grande",REF30002,"Salsa de tomate",4500,3.89,10,100,0.09,1000,0.90
"Pizza parmigiana grande",REF30003,"Queso mozzarella",2500,14.45,10,200,1.16,2000,11.60
"Pizza parmigiana grande",REF30007,Berenjena,1000,1.90,10,150,0.29,1500,2.90
"Pizza parmigiana grande",REF30008,"queso parmesano",2500,18.75,10,200,1.50,2000,15.00
"Sprite Regular 33cl",REF30036,"Sprite regular 33cl",1,0.41,3,1,0.41,3,1.23
"Pizza hawaiiana grande",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,6,300,0.63,1800,3.78
"Pizza hawaiiana grande",REF30002,"Salsa de tomate",4500,3.89,6,100,0.09,600,0.54
"Pizza hawaiiana grande",REF30003,"Queso mozzarella",2500,14.45,6,200,1.16,1200,6.96
"Pizza hawaiiana grande",REF30017,jamón,5000,32.45,6,150,0.97,900,5.82
"Pizza hawaiiana grande",REF30018,Piña,5000,6.23,6,120,0.15,720,0.90
"Pizza Pepperoni Reg",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,10,250,0.53,2500,5.30
"Pizza Pepperoni Reg",REF30002,"Salsa de tomate",4500,3.89,10,80,0.07,800,0.70
"Pizza Pepperoni Reg",REF30003,"Queso mozzarella",2500,14.45,10,170,0.98,1700,9.80
"Pizza Pepperoni Reg",REF30013,Pepperoni,2500,24.18,10,200,1.93,2000,19.30
"Sprite Diet 33cl",REF30038,"Dieta de sprite 33cl",1,0.41,1,1,0.41,1,0.41
"Fanta Diet 1.5l",REF30043,"Dieta fanta 1.5l",1,0.96,2,1,0.96,2,1.92
"Coca Cola Diet 1.5l",REF30035,"Dieta de coca cola 1.5l",1,0.96,1,1,0.96,1,0.96
